Roll_no,Name,div,math_score,Reading_score,Writing_score,Placement_score,Club_Join_Date
1,aman,A,79,81,73,94,2024
2,shreya,B,60,84,69,83,2019
3,sayali,B,71,75,77,96,2021
4,sanika,B,80,86,77,76,2024
5,vijay,B,70,75,63,79,2024
6,puja,B,71,,70,91,2018
7,poonam,B,67,82,77,97,2021
8,rohit,B,61,84,,75,2019
9,rahul,B,66,85,73,79,2019
10,kajal,B,72,88,70,99,2018
11,kartik,B,65,78,67,86,2018
12,varun,B,71,80,67,88,2019
13,kriti,B,79,87,78,83,2023
14,shyam,B,78,88,73,82,2020
15,namrata,B,75,90,69,99,
16,mayur,B,75,75,63,76,2022
17,maya,B,70,76,75,97,2019
18,mamta,B,77,80,72,96,2023
19,arpita,B,71,87,60,84,2024
20,chaya,B,75,78,78,77,2022
21,kavita,B,,77,,87,2021
22,savita,B,79,86,68,95,2022
23,anita,B,70,83,67,94,2019
24,manisha,B,78,79,80,100,2018
25,raha,B,61,81,71,95,2021
26,aliya,B,65,80,67,,2020
27,rekha,B,64,79,71,84,2019
28,rama,B,79,88,75,84,2024
29,savitri,B,78,88,61,94,2020
30,shubham,B,72,85,70,93,2019
31,shubhada,B,,79,64,76,2019
32,ishwari,B,61,86,66,93,2023
33,sanika,B,74,89,71,94,2022
34,ravi,B,71,89,67,99,2022
35,ruchi,B,79,88,71,77,2023
36,darshan,B,63,83,62,93,2020
37,shivani,B,70,76,62,,2020
38,tejas,B,62,78,78,83,2020
39,amar,B,66,83,80,96,2020
40,dua,B,68,,67,99,2023
41,dipeeka,B,74,76,64,86,2024
42,anushka,B,63,77,77,86,2020
43,durva,B,72,87,69,85,2024
44,akansha,B,68,,77,77,2023
45,gauri,B,67,89,79,82,2021
46,gautam,B,64,90,65,84,
47,rashmi,B,74,79,72,86,2021
48,ajay,B,77,80,67,100,2020
49,sarthak,B,76,79,76,77,2023
50,sumedha,B,76,90,78,100,2021
51,sejal,B,64,86,80,90,
52,siddhi,A,74,88,64,81,2022
53,sakshi,A,,76,69,82,2019
54,Rutuja,A,63,80,78,,2018
55,vedika,A,79,79,70,79,2022
56,tanvi,A,69,82,75,78,2018
57,tanuja,A,67,87,70,81,2024
58,tejal,A,71,81,72,90,2023
59,shubhangi,A,68,90,66,89,2022
60,sita,A,75,87,80,79,2021
61,yash,A,74,76,62,96,2021
62,ram,A,73,90,74,88,2019
63,jay,A,74,78,61,97,2020
64,vijay,A,72,,76,84,2018
65,om,A,69,79,,86,2022
66,sai,A,75,77,66,91,2018
67,radha,A,66,81,60,85,2022
68,vaishanavi,A,71,88,79,82,2019
69,priya,A,64,88,61,77,2024
70,sammruddhi,A,69,81,64,88,2023
71,snehal,A,78,81,73,78,2021
72,payal,A,65,77,77,99,2021
73,parth,A,63,90,76,83,2020
74,kalyani,A,61,75,60,98,2023
75,sharda,A,61,83,69,90,2023
76,kirti,A,76,81,80,89,2024
77,shraddha,A,74,85,62,86,
78,mrunal,A,78,90,72,98,2024
79,sonali,A,73,83,64,81,2018
80,rutuja,A,65,80,75,75,2022
